0.475,0.425,0.49375,0.43125,0.4625,0.45,0.40625,0.45,0.3625,,,,,,,,,,,
0.39375,0.43125,0.4125,0.40625,0.45,0.4375,0.43125,0.4,0.48125,,,,,,,,,,,
0.425,0.475,0.45,0.45625,0.425,0.46875,0.43125,0.45625,0.4625,,,,,,,,,,,
0.43125,0.4375,0.4125,0.45,0.46875,0.48125,0.425,0.4125,0.4875,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,WC1,WC2,WC3,WC4,WC5,WC6,WC7,WC8,WC9
,,,,,,,,,,M1,0.475,0.425,0.49375,0.43125,0.4625,0.45,0.40625,0.45,0.3625
,,,,,,,,,,M2,0.39375,0.43125,0.4125,0.40625,0.45,0.4375,0.43125,0.4,0.48125
,,,,,,,,,,M3,0.425,0.475,0.45,0.45625,0.425,0.46875,0.43125,0.45625,0.4625
,,,,,,,,,,M4,0.43125,0.4375,0.4125,0.45,0.46875,0.48125,0.425,0.4125,0.4875
